show_id,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8
s1,Documentaries,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s2,International TV Shows, TV Dramas, TV Mysteries,NULL,NULL,NULL,NULL,NULL
s3,Crime TV Shows, International TV Shows, TV Action & Adventure,NULL,NULL,NULL,NULL,NULL
s4,Docuseries, Reality TV,NULL,NULL,NULL,NULL,NULL,NULL
s5,International TV Shows, Romantic TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s6,TV Dramas, TV Horror, TV Mysteries,NULL,NULL,NULL,NULL,NULL
s7,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s8,Dramas, Independent Movies, International Movies,NULL,NULL,NULL,NULL,NULL
s9,British TV Shows, Reality TV,NULL,NULL,NULL,NULL,NULL,NULL
s10,Comedies, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s11,Crime TV Shows, Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL
s12,Crime TV Shows, International TV Shows, TV Action & Adventure,NULL,NULL,NULL,NULL,NULL
s13,Dramas, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s14,Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s15,British TV Shows, Crime TV Shows, Docuseries,NULL,NULL,NULL,NULL,NULL
s16,TV Comedies, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s17,Documentaries, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s18,Crime TV Shows, Spanish-Language TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL
s19,Thrillers,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s20,International TV Shows, Spanish-Language TV Shows, TV Action & Adventure,NULL,NULL,NULL,NULL,NULL
s21,Crime TV Shows, Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL
s22,International TV Shows, TV Action & Adventure, TV Dramas,NULL,NULL,NULL,NULL,NULL
s23,Comedies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s24,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s25,Comedies, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s26,Docuseries, International TV Shows, Reality TV,NULL,NULL,NULL,NULL,NULL
s27,Comedies, International Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s28,Comedies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s29,Horror Movies, Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL,NULL
s30,Thrillers,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s31,Dramas, Independent Movies, International Movies,NULL,NULL,NULL,NULL,NULL
s32,TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s33,British TV Shows, International TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s34,International TV Shows, TV Dramas, TV Thrillers,NULL,NULL,NULL,NULL,NULL
s35,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s36,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s37,Action & Adventure, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s38,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s39,Action & Adventure, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s40,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s41,Kids' TV, TV Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL,NULL
s42,Action & Adventure, Classic Movies, Dramas,NULL,NULL,NULL,NULL,NULL
s43,Dramas, Horror Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s44,Action & Adventure, Horror Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s45,Action & Adventure, Horror Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s46,Documentaries,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s47,Action & Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s48,International TV Shows, Romantic TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s49,Dramas, Thrillers,NULL,NULL,NULL,NULL,NULL,NULL
s50,International TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s51,International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL
s52,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s53,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s54,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s55,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s56,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s57,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s58,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s59,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s60,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s61,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s62,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s63,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s64,Action & Adventure, Anime Features, International Movies,NULL,NULL,NULL,NULL,NULL
s65,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s66,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s67,Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s68,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s69,Documentaries, International Movies, Sports Movies,NULL,NULL,NULL,NULL,NULL
s70,International TV Shows, TV Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s71,International TV Shows, Reality TV, Romantic TV Shows,NULL,NULL,NULL,NULL,NULL
s72,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s73,British TV Shows, Docuseries, International TV Shows,NULL,NULL,NULL,NULL,NULL
s74,Dramas, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s75,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s76,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s77,Anime Series, International TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s78,Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s79,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s80,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s81,Children & Family Movies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s82,Action & Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s83,Crime TV Shows, TV Comedies, TV Dramas,NULL,NULL,NULL,NULL,NULL
s84,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s85,Action & Adventure, Comedies, Dramas,NULL,NULL,NULL,NULL,NULL
s86,Anime Series, Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL
s87,International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL,NULL
s88,Kids' TV, Korean TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s89,Documentaries, Sports Movies,NULL,NULL,NULL,NULL,NULL,NULL
s90,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s91,Sci-Fi & Fantasy, Thrillers,NULL,NULL,NULL,NULL,NULL,NULL
s92,Documentaries, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s93,International TV Shows, TV Dramas, TV Mysteries,NULL,NULL,NULL,NULL,NULL
s94,Dramas, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s95,Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s96,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
